dyu,fr
n ɲamuni lo ni grip ye,Je suis brouillé avec Grimm.
a ba nun samana nin murabagatɔ ni,"Le morveux, comme il grimpe!"
lafiɛ tuma ye wagati juma,C’est quand les vacances ?
horas ka fɛta ra,À propos d’Horace
o tumana o yi gɛrɛgɛrɛ kɔrɔbɔ,Ils prennent donc un risque.
I ma n ka vɛsi ye wa,"Florence, as-tu vu ma veste?"
Wagati dɔ ra o ye nigɛ gosi.,"Un temps, on sonne."
N ga kumakan n bi na ɲafɔ kaɲɛ,Je vais étayer mon propos.
Ko ɲan nin bi na a maloya,Et ce l'humilia.
A kaɲi ele fɛ do,Eh bien ! et toi ?
A ti se ka bali,Ca ne peut pas nuire…
I ɲana filɛ kadi.,Tu as une mine superbe.
Miseline y'a bɛɛ fɔ n ye.,Micheline m’a tout dit.
nan n bolora,Viens dans mes bras!
nan kɔ ni fara ni lo n'a ye,Le jardin en est plein…
n tina sans,Je ne l’achèterai pas.
jonka donkili le,De qui est la musique ?
lutigi ti siran a y'a fɔ,"Au Nautilus, » dit-il."
n nakun tun ye ni ye,C'était ma mission ici-bas.
a digira la,"Il la crut, il fut furieux."
O bi welé ni kèra,On sonne au téléphone.
Jii don yiri nunuw kɔrɔ,il faut arroser ces plantes.
O bi nan n kɔrɔmuso kanu,on aimera ta sœur.
Karl ya ka deen fa ye,Karl Barth est son parrain.
Nin jɛnkulu ni ye a degibagatɔw le ye,Les clubs sont amateurs..
Ow sigi Nin do niw yɔrk,Son siège est basé à New York.
An ka muso wilila fama cɛ kan,Notre-Dame! cria le roi.
I filila yɔrɔ jumɛ,Quelle est votre erreur!
Yɔrɔ gwanino bi,Il fait chaud aujourd'hui.
A ka taga bi na mɛ,Il est parti pour longtemps.
A bamuso tun ye mari Nicola ye,Sa mère était Marie Nicolas.
Nin jati n ye,Contez ça pour moi.
Olu o tun ba kalan na,"elles, elles lisaient."
Ka n'a sira tigɛ,Ne pas traverser la route.
A bi siran na,Vous avez peur ?
I ta miriya ta ye jumɛ le ye,Qu’en penses-tu ?
Aw ti na tɛmɛ a ra,»Vous ne la passerez pas.
Rɔm ka hamina ko bɛ tiɲɛna,Le rêve de Rome s'écroulait.
An ga taga an ɲa lɔ a kan,Allons jeter un œil.
O sɔnna an tara,Ils sont d'accord avec nous.
Binaani Ani ko kelen,Quarante et une choses.
I bi barakɛ mi?,Où travailles-tu ?
I tɔgɔ ko di,Comment t’appelles-tu ?
N man teli,Je ne vais pas hardi vite.
Mɔgɔ min bɛ kumala mɔgɔla,L'avant avant-dernier.
O ka ca kojugu,Ils sont trop nombreux.
Nin tulokɛnani ɲɔngɔn bi n fɛ lukɔnɔn,J'ai le même jeu à la maison.
Dondo bi kasi lonbɛ sɔgɔma,Le coq chante tous les matins.
ɔrɔbu jumɛ le bi fɛ Ora sa,Quelle robe as-tu donc ?
A ye mule fɔ,Qu'est-ce que vous avez dit ?
A bi se ka a yɛrɛsɔrɔ,Vous pouvez vous trouver.
An ye sebaya sɔrɔ,Hourra! On a gagné!
N ba loɔn,Je le sais… je le sais.
ɔnhɔn pɔtɔpɔtɔ te yi,"Mais non, pas de la boue ?"
an ga kumakan o kɔni,"Parlons-en, en effet"
kɛlɛni bi tara ɲɛ,La guerre continue.
O yi boɲɛ lase a ma.,On lui a rendu hommage.
A ka kɛnɛ wa ?,Vous vous sentez bien ?
A fari yɛlɛma na.,Son corps aussi a muté.
Aw kana yɛlɛ dɔni.,Peu ne rient pas.
Nin kɛ cogo nin bi mun fɔ a ye ?,Qu’en est-il de ce critère?
Musodafani min ti siran mɔgɔsiɲɛ nin lo.,"C'est une fille robuste, et qui ne craint personne!"
Yan n ɲumanbolo fɛ n ka tabadaga duguma.,Là… à droite… sous ma pipe.
Nin ti I diana mɔgɔ ye,Ça ce n’est pas un crayon.
sigi yɔrɔ deni nɛrɛmuguman den wɔɔrɔ,six petites chaises jaunes.
mu kama aw bi n ɲinigana nin na,Pourquoi me le demandez-vous ?
ana bamuso bi kilo kɛ yi,Elle y joue la mère d'Anna.
a y'i hɛkɛto sigi yɔrɔ bé yi,Asseyez-vous s’il vous plait.
a kɔrɔ bayala,Elle est assez grande.
a gɛɛ ni lo i nafɔ kafe nɔnɔlanan,Blanc comme du café au lait !
I y'a famu sisan,"Tu comprends, maintenant?"
aha ha ha ha,Ah ! ah ! ah ! ah ! ah ! ah !
jonle tun bi livru nunu kalan na,Qui lisait encore des livres?
o ɲɛna n yɛrɛ fana,"Eh bien, moi non plus !"
a kaɲ a kaɲ kosɔbɛ,C’est bien… c’est très bien.
kalo kelen kɔnɔ a y'a bɛɛ sɔrɔ ka dimi,"En un mois, il eut tout mangé."
a ba fɛ cogo mi n'a,Autant qu'il veuille.
nunu ti kulon kɛ nan ye,Ce ne sont pas des jouets!
sini a bi nata jikɔnɔ fɛnw minɛw la,Demain vous pêcherez.
a bɔni lo ɲɔgɔnman siga tara,Absolument identique.
binaani ni naani,quarante quatre.
barada nunu sera dolar ma,Les travaux coutèrent dollars.
a yi ta la,Allez donc vous coucher.
n bina kɔrɔsini fla kɛ,Je ferai deux remarques.
sigi yɔrɔ finman den naani,quatre chaises noires.
I lanilo a ra k'o tun ba fɛ wa,Tu es sûr qu’ils aimèrent.
a sigini le sɛnzɛn,Elle est basée à Shenzhen.
bekani tu m'a juguyara,L'oppression était moindre.
frankfɔr sekɔra ka taga tuguni,Francfort est repêché.
bɛɛ lo,C’est tout le monde.
famancɛ ani mu tuguni,Le Commissaire Mais encore ?…
a bi mulo kɛra,Qu'est-ce que vous faites ?
yani b'a kalan na,Yann est en train de lire.
I kankan ka ni bla sena,Tu doit mettre ça en place.
a bi n wele sirana,Elle m'appelle Lucifer.
cɛ sirinan duuruna,Une ceinture foncée.
kanu le bi laban,Aimer est un accomplissement.
famanc dron buteli kelen,Une bouteille de vin.
a tun ta cogo kaɲi kojugu,Très bien !… ça marchait…
I lanino koɲani n'a wa,En es-tu bien sûr?
o kan to yi,Qu’on nous laisse !
ɔrɔbu nɛrɛmuguman n ma fɔ wuleman dɛ,une robe jaune et non rouge.
Jon lo bi n'a kila ka ban a kɛwale la,Et qui le lui reprocherait?
A be barakè hati low wa?,Vous travaillerez le dimanche
Ah tena bi sega kalan,"Ah ! comme ça, on peut lire !"
Kɔnkɔnni kɛla mɔgɔ naani,Quatre sonneurs.
A ye galon tigɛ wɛ,Elle a donc menti?
Wagati bi tɛmɛ,"Le temps passe, passe."
Mu ka man a malo faranilo,Pourquoi êtes-vous malpoli ?
A bi kɔnɔnni kɛ lonbɛ,Il attend tous les jours.
Livru damani.,Quelques livres.
eriku tun bi fɛ ka lafiɛ,Héricourt eût voulu souffler.
A kuma na n'a barna kanye,Sur le même ton brusque.
A tɛmɛna a gɛrɛfɛ,il est parti de travers.
ka to a Dana nin no,Mais c'est défendu.
a ka teriya tun bi n'a t'en,Il se hâtait machinalement.
a tun datugula a yi dugu tama sira kalan,"En prison, il étudie le Droit."
Ora an ka munkɛ?,"Alors, que faire?"
zezi kanu bagaw ka kuntigi,Monseigneur l'évêque.
o ye donkili kan yɛlɛ caman,On met la musique trop fort.
Nin yɔrɔ ni tɔra dusukasila,La place resta morne.
"Bana jan, Bana gwilimani bana juguman","Longue, lourde, grave maladie."
Kɛlɛkɛlaw a bi na se ka kɛ ka se nin ma wa,"Soldats, en ferez-vous autant?"
A be di ipɔlit?,"comment vas-tu, Hippolyte?"
Saa deeni ti fɔn yan,Il ne manque pas un serpentin.
A sigila ka tila ka weeleni kɛ,Il se rassied et appelle.
I bi lɔ na ye kɔsɔbɛ,Je les assume parfaitement.
Selt ka sira Beinheim,Route de Seltz à Beinheim
A kadi n ye n ka ta fereyɔrɔ la.,J'aimerais aller au magasin.
wa o ye furu sa banbali ye .,Et c'est un divorce éternel.
Pol Gube bina sa kasɔrɔ a ka nafolo ban na.,Claude Goubet mourra ruiné.
Nigɛkanya mankan bɔra kinibolo fɛ.,On sonne à droite.
Se ko damayira.,"Moins que peu, presque rien."
A tɔgɔ ko di ?,Quel nom avez-vous ?
ciri min kɛra kuruba kɔnɔ a y'o ka kɛlɛkɛ minan bila yɔrɔ cin,L'explosion endommage la salle des torpilles du navire.
a ka n'a yɛrɛ kɔrɔsi kojugu,Ne soyez pas sur vos gardes.
o ka Mara dugu ba ye obiskop ye,Son chef-lieu est Obispos.
a y'a nɔgɔya ka kalan ka yɛlɛma,Il allège et il remplace.
n ka miriya ta kaɲ,Mon avis est donc favorable.
ka sɔrɔ a bi fɛ ka barakɛ a taga boloɲuman kan,Mais il se veut réaliste.
kilo mugan ni klancɛ,Vingt kilos et demi.
a bi kasira Nin ye n ba sɛbɛna,Elle me pleure ! m'écriais-je.
an ti lafiɛna tuguni ni yɔrɔ ni na,On ne respire déjà plus ici.
An bi fɛn dɔ kɛlɛla,Vous combattez un outil.
Tile mana tuma gwan ni lo,Les étés sont très chauds.
Sigi yorô min yi moissan é,Rue Roger Moisan à Chabris
tulon kɛ sɛ la ne le ma.,C’est à moi de jouer.
Ne sigi ra,Olberg fuit à Vienne.
KO mou?,James et Kip James.
Pan KO lkelé,Un saut entre deux trains !
Sira min bi tèmè poussin,"Chemin de Poissy, Maule"
"Ayi akè toi,ayi ni to akili la",Notez-le ! je vous prie.
A ka bâ râ ké Yoro dayè lê la wa?,Le magasin est ouvert ?
Wa kelé ni kèmè cbegi ni biworo,mille huit cent soixante-six.
Nin cɛyi lɔni lo a ka ji ben yɔrɔla,Monsieur est sous sa cascade.
Nin ko ni cɛni bi n'a juguya ma,Ce sera un échec cuisant.
A bi kɛ sisan sisan,A tout à l'heure.
Ba lamɛna,"J’é, j’é, j’écoute."
Nin ko ni be yɛlɛbila kojugu,C'est marrant ça.
Nin ko ni bi kɛra foo a daminɛ,et ce depuis le d'ebut.
I labɛn nin tɛ fɔlɔ a? Ɔnhɔn.,Tu n'es pas prêt ? Non.
Aw i n'a tunu,Vous vous serez perdue !
Muso ni sanji binana do?,"Mais… s’il pleut, madame ?"
Wulumuso deni,une petite chienne.
Aba sen goro la Lucien ka tapi kan,Il se frotte les pieds sur le tapis Lucien .
Sira min bi bo unamendi,Chemin d'Unamendi à Urrugne
A flè i tara ni koni yé Yoro mi na,Voilà où tu en arrives !
O toun bâ kô,Ils le suivaient.
O tchèma,Laquelle est la meilleure ?
Sogô ma da nigê kagna konon ton,Neuf heures du matin.
Sira ka bô ario ka ta bo donssan,Chemin des Ariaux à Donzac
O yèna pétunia,"Eh bien, et Pétunia ?"
Nni bè bi a la,Toute ma vie est en vous.
Aba bolo wa?,L'avez-vous sur vous ? Oui.
Ni yé tchogo kagni,L’avis est donc favorable.
Ni bi kalan kèra dibi konnon,Elles bossent au noir.
An bi ta an bâ filè,Nous allons voir Maman!
Anaïs ka mousso,"Anaïs , femme de Beauperthuis."
Ka ni bolo non bila ni kan,Ne signe jamais cela.
Afrique djamanan ka fari golo djaga bôlaou,Des sportives d’Afrique.
Ah kila la aw ka kalan la wa?,Vous avez terminé vos études ?
Koni gèlè ya râ ne ma,"Moi, c’est plus fort que moi…"
Poupe fitini,une petite fille.
Un toun kagni ka un yèrè siga a kora,J’aurais dû m’en douter.
Mi bɔ Nin dugu kelen kelen nin na,Je suis de ce pays.
An bi kè mogo djoli?,Combien serons-nous ?
An be ta,Allons ensemble.
Ni gè bin bolo,J’ai une paire de ciseaux.
a kaɲ dɔɔni,Plus ou moins bien.
amɔnt diboi kreɔn bi nana,Armand de Bois-Créault arrive.
a kɔrɔmuso tɔgɔko dan,"Elle a un frère aîné, Dan."
A bina tile fila kɛ.,Il dure deux jours.
I ya fô a ya na,Pourquoi lui mentir?
An sègè la doni,Nous sommes assez fatigués.
N'an ye jurumu ko kɛ,Si nous pêchions.
Zizi yi mou fen leyé?,Qu’est-ce que c’est que Zizi ?
Tchè baba wou,les grands garçons.
Ouya kalan ka kankorôta,Lisez-les à voix haute.
O Tina sigen fiyo,Ils n’en ont jamais assez.
A ka koyan kèra songo dourou,Il a été marié cinq fois.
O kèrè fê,Elles ont été aimées.
A bi ayèrè minè na,Il reste cependant réserviste.
Moulo bi aw râ?,Qu'est-ce que vous avez ?
A kèra fè,"Elle, elle est aimée."
Fogayè baou fo,"Très bien, je vous remercie."
Kana na yan.,ne viens pas ici.
A li n ga fɛn samanan,Même mon aspirateur
Sran odte,Rue Aubry au numéro cinq
KO KO juma lo bé yi,De quoi est-il question ?
Kɔrɔlen ko.,La plus ancienne.
Dɔktɛr Ge ka tɛmɛsira min be yi Andevil.,Rue du Docteur Gey à Andeville
O minw yi ɲɔgɔnw tara nin dansawo nin na o bi fili.,Les candidates se trompent.
Bisaba ani kelen kalansɛbɛ papiye fiman.,trente et un livres noirs.
Soyɔrɔ bonda dɔw ra.,À certains endroits.
N bi dumuni kɛra.,je suis en train de manger.
A ka ɲi kojugu.,c'est trop beau.
pakof ko ten a ɲɛna,Bien dit! répliqua Pencroff.
Ali juru sara sira kan,Pas même pour la vengeance.
s'il yɔrɔman lɔ nin kɔfɛ,En dehors de l'hôtel.
a sara ST ra,Il est mort à St.
ekipu kuntigi tun bi kumana,Dit le capitaine.
bɔb diran kanu bagaw dɔlo,C'est un fan de Bob Dylan.
ko bi se kana,Qu’elles viennent !
kanuɲɔgɔn,L’amour du prochain.
a kilara mɔgɔ duuru nan,Ils finissent cinquièmes.
dugumakolo papie foyi tun ta fɛ,Il ne possédait plus un sol.
n lanilo a ra ko kanu be yi,je suis sûr que nous aimâmes.
Ka na ninyɔrɔlako ta nin yɔrɔ nin na.,Enlève tous ces journaux.
I dɔgɔmuso kun ko ka d'an ye.,Nous aimâmes ta sœur.
Loon jumɛ le a bi nana,Cydalise en était sûre.
Kɔnɔnada yɛrɛ.,Le calorifère est allumé ?
A sera wagati ra,Je cours mettre mon bonnet.
N lanido a ra ko bi n'a diya i ye,C’est bon comme ça.
a bi n ni n ka barakɛla minɛ kaɲɛ,Il est où mon ouvrier capturé?
a ba ti ɲɔgɔnfɛ,"Il tousse, à part."
A ti foyi ɲɛ.,C’est pas juste.
Ne taw le.,c'est les miennes.
O sɔnna n'an ye.,Ils sont d’accord avec nous.
Iyi doussou kassi,À quel étage habitez-vous ?
a diara n ye wa,"Rue Pierre Sellier, Beaucourt"
inikɛla wuleman dɔ ye n laminɛ,Les impôts nous avalent tout.
Ele lo wa?,La nuit était encore obscure.
a ɲɛna peu,Rue Roger Renard à Hierges
Sanji bi nana wa ?,Est-ce qu’il pleut ?
a tɔtora sanu wo,Il reste le musée de la mine.
a ta lo,Il était donc inhabité.
A bi la Wiskɔnsɛn ra.,Nous vivons au Wisconsin.
ɲanyɔrɔ kanɲi,L’emplacement est idéal.
I lanilo a ra k'a tun diara ye wa,J'avoue qu'ils n'ont pas tort.
n kasira a kama,Puisque je l'ai pleuré !
Midi tuma na Zulien nana.,C'en est donc fait!
N ye ta fataleen sɔrɔ,Avec un soupir d’étouffement.
A tun ye kunko tigi ye.,Elle était une énigme.
Nin janin yan fe yi.,ce maigre là-bas.
Teregoriw ye mɔgɔ darabɔlaw ye,Les Trégorois sont moqueurs.
Josi nunuguw yi deenmisɛ ye,Joo Se-Hyuk a eu un enfant.
Kasadiara dɔɔni,Un peu de parfum.
Nɛnɛ be yi bi..,"Nous, nous lisons."
Siginan wɔrɔ nɛrɛmuguman cɛjuguni.,Bon on va boire un coup?
N ka bara kè la,Tu as une mine superbe.
A bɛɛ yi ɲɔngɔnfɛ,tu es sûr qu'elle aime.
An kanɲ ka Nin fɔ a ye,tu es sûr qu'elle aima.
Gilasi bɔɔra sangolola ka ben kunu,J'ai beaucoup d'eau.
A ka sira bi see dan,J'ai dévasté mon cœur.
ɔhɔ sisan sisan,Lenora le croit mort.
A bi a kalan na,Elle continuera de l’être.
A bi komi a ka di,Ça a l’air... intéressant.
A kɛra komi n tun saara,C'est comme si j'étais mort.
Cogo jumana kɔngɔ ti ra,Comment ça t'as plus faim?
Sigi yɔrɔ kapɛl milo,"Place de la Capelle, Millau"
Laɲini dɔw bi ne fɛ,"Allée A Sabina, Borgo"
Lɔɔ ni Nin kɛra a bi na segi ka kɛ,Cela vous plait ?
Nin kanɲ,Amendement de conséquence.
A ka gwɛlɛn n ma ka fasa,J'ai du mal à perdre du poids.
An yi vɛn dɔ san ya,Vous pouvez me trouver.
Ne ye jɔn le ye a kɔ,Que suis-je auprès de Lui.
A bi se ka kɛ fo ka ɲɛ,Où voulais-tu que l'on aille ?
A cɛkaɲi foo ka tɛmɛ,Elle est vraiment grande.
ɔnhɔn a kɛra,Il évoluait en Persha Liha.
N sɔnna i ta ma,Tournez à droite.
O bi balola fitini la,C'est fort politique.
A bi dugu deenw famu,Je ne vais qu’à l’église.
A ye kuma madam bɛrland fɛ,Tourner sur elle-même.
A bi na kɛ i dɔgɔni fɛ,Ca ne fait rien…
I kɔ so kan,Je n’entendais pas la cloche.
A kɛra kunfɛ ko ye dɔɔni,Pour ce que ça vous rapporte.
A bi tugura,elle fait semblant.
O sɔn na ni an ye,Omer en juge autrement.
Dɔngilila papie,Avenue Charlotte Corday à Caen
I bé mule fɛ a fɛ,"Ah ça, parlons raison."
Keni ko foyi,"J’ai perdu, dit Nicholl."
Mu le bi Nin ra,Qu'est-ce qui lui prend ?
Sirayan kan,D’une voix angoissée.
Dugu dɔ bɔda ra.,"A part, en sortant."
Dugu dɔ bɔdara.,six allée du Maréchal Juin
A tɔ tora sanu kuruwo.,Il la vit par le carreau.
Kongofɛn babaw dow,D'autres grands animaux.
A dɔ ti fɛ wa,Tout cela demande du temps.
Sanni dɔni a bi aw kan wili.,ta paire de lunettes.
N bi na kule yiri sanfɛ,"Un temps, on sonne."
N teri i bi na taga n ka pilasira,Rue Jacques Bourgeois à Dieppe
Yan ni wagatidɔ o bi na sɔnerikɛ,Son chef lieu est Zwickau.
Anw ka sirayan boɲɛna,Notre crainte est double.
Adeline bi tapi gilan,"Un tapissier , à Adeline."
A ni sɔgɔma muso cɛɲumani,"Bonjou, bonjou, belle dame."
An ka miriyata ye kuma ye,Que pensez-vous ?
Sanji bi nana wa,À quelle vitesse roulait-il ?
N bi na duminikɛ ka sababuya kɛ kɔgɔ bi n na,Ça me fait mal ici.
Hann a kaɲ,vingt rue Alfred Longuefosse
I tun ya sɛbɛ,Tu lui avais donc écrit ?…
Monternel ye dugu dɔ ye,"Montfermeil, c'est un pays."
N ma delikani kɛ,Je n’ai jamais fait ça encore.
A bi mulo ɲinina,"vous, vous avez été aimé."
A ye n ga miriya ta janya,Elle m'a fait beaucoup rêver.
Ka kalan kɛ ka se ka dɛmɛni kɛ,S'instruire pour servir
A bi nana wa,Ils ont vu et appris.
An bi jɛkulu min na,Dans l’état où nous sommes.
A kɔrɔsibaga bi tugula kɔ,L'on s'apprêta pour le départ.
A diyara n ye kojugu,Rue J F Chalgrin à Versailles
Anw taa le,peut-être que j'irai.
Kɛlɛ ni man nɔgɔ,Le combat est dur.
Awa le ya ka pilasi ta,Elle jouait avec elle.
Ni yi suguru juma le ye,Comme il est fort !
A ba yira ko a kilara,Ca prouve qu’il est prêt !
Livru nɛrɛmuguman,Le livre le plus jaune.
Bara ɲɛna,Les affaires sont bonnes.
N ba fɔra kaɲɛ wa,tu es sûr qu'elle aimait.
A ti kɔnɔni kɛ tuguni.,Proposa le comte.
Varɛnn n'a do,Et à La Varenne ?
Pine gilanlaw,Veux-tu mon avis ?…
E bamuso sɔkɔra ka fɔ ne ye,Vous n'êtes pas du pays ? Non.
A kɔrɔni lo ni ne ye,Il décède le à Lyons-la-Forêt.
A fana kèrè kaman je la,Le pastis est un dessert.
Astuce yi kongo yé,Le moule en est brise
Fen djèni k1ssa,J’en ai ma claque.
kasa dia nan dɔɔni,Je suis en train de lire.
Nin de ye ne ta ye,c'est celle-là la mienne.
an bi ko dɔɔni mɛ,On entendit peu de choses.
Ani kalayiri diko sira.,Comment vous appelez-vous ?
a ka jaa,Phototypie par A.
jii bɔra san golo la ka ben,Il a neigé hier ?
finɛl ka sira binaani,quarante chemin de Finelle
N binana n'a lamagani ye.,trente rue de Samerey
Tapideni bi Adeline .,"Un tapissier , à Adeline."
Nin ye fugatɔ fila ye.,Ce sont deux hommes farfelus.
Ka n'i ka bolonɔn bila nin ra fasi.,Ne signe jamais cela.
A cɛ ka ɲi.,Extrêmement beau.
A bi dugudenw faamu.,Il comprend habitants.
A bi mun lo dɔn a ra?,Qu’est-ce que vous en savez ?
Kamele mugan ni saba.,vingt trois gars.
A bi a kalan na.,"Elles, elles lurent."
A sɔn na a ka kɛta ma.,C'est le vent qu'on entend.
I bi se ka Ero duru juru dɔn n na ?,Tu peux me prêter cinq euros?
N bi nana n'a lamaganin ye.,"Alors, je rapporte la mixture…"
A ɲɛ na.,c'est très bien.
Lɔni min kɛra bina sɛkɔ ka kɛ.,La construction put reprendre.
Aw yi ɲɔgɔn minɛ a bolo la tuguni.,Embrassez-vous donc encore.
N dani lo a ra ko n kad'a ye.,Je suis sûr que vous aimez.
N sɔnna i t'a ma.,Je suis d’accord avec toi.
Susɛti sen kelen bi n fɛ.,J’ai une paire de chaussons.
A bi mun lo dɔn a ra ?,Que signifiait tout cela?
Dɔnkilila papiye.,Un papier de musique.
clé ni bi ni a dɔgɔni ye,La clé est avec sa sœur.
sigɛn bagatɔ ni bimi,Vers les midi Julien arriva.
yɔrɔ ko aparɛ ni mɛnɛna wa,C’est vraiment grand.
yɔrɔ bi n'a gan,Tu es sûr que vous aimerez.
a ciɛna pepepeu,complètement trempé.
a ma see o ma,ça ne vaut pas la peine.
I ka fɔta ɲɛna kendi,Rue des Calebasses à Kourou
siranya y'a kan,Les sanglots la secouaient.
kɔnɔna da yɛlɛ,Ouvrant la porte du fond.
I ka linɛti,Nombreuses occurrences.
a ye na sini sɛn satirnɛ ra,Venez demain à Saint-Saturnin.
a bon na caman n ta kalama,Pour longtemps ? Je l'ignore.
i bi bretaɲ kan mɛn wakati,Bientôt il éleva le ton.
n teri I bi n'a taga n ka pilasi ra,"Mon ami, tu iras à ma place."
Ani sɔgɔma muso cɛɲumani,Le vieux était devenu grave.
n ka miriya ta ye a bi n'a dia a ye,Aussi je crois qu’il plaira…
alfrɛd lonfɔs sira mugan,Vous n’avez qu’à lire.
a bi n'a dia n ye,c'est la sienne.
Joli ni digini lo a ra.,Le traumatisme est profond.
San ni dɔni an bina a ye.,"Plus tard, on verrait"
An bi jɛnkulu min na.,L'espion le suivit.
Amerikɛn le.,Qu’est-ce que ça vaut ?
Ka kalan kɛ ka se ka dɛmɛni kɛ.,Le soleil s'est couché.
A tamana dɔn ni.,Elle fait quelques pas.
A ma kɛɲɛ.,C’est pas juste.
A bina a ye sisan sisan.,Je le verrai tout à l’heure.
Denigɛr Florans le y'a ba ye.,Sa mère est Florence Deniger.
Lwi Malar ka sira tan ni kɔnɔtɔn.,dix-neuf rue Louis Mallard
Patris Joli le ye masacɛ ye.,Le président est Patrice Joly.
Nin ye sunguru juma le ye,Qui est cette jeune fille ?
a tɔ fɔ,Deux mimes gémissent.
a bi n'a kɛ I dɔgɔni fɛ,On aima ta sœur.
n son n'a k'a cɛn bo fɛ,des messieurs fort arrogants.
fankoni ka sira duuru,cinq rue de la Franconie
an labilani no sisan,Vous êtes libre maintenant ?
n ti n'a kɛ kɔfɛ,Je ne serai pas en retard.
an labilani no sisan,Je suis sûr qu’il aimerait.
A bɛɛ t alugu fɛ,Tout est contre vous!
Bamuso filanan bi na bɛn marcof ma,La seconde mèche ! fit Marcof.
Susɛti see kelen bin fɛ,Alors qu’est-ce que ça donne?
An bi na a dɛmɛ,Il est superflu et inutile.
A nana ni buteli ye,Il apporte une bouteille?
A bi sagaso jumɛ de sanfɛ,il jouait avec toi.
A tɔgɔ sirila,Il n'y a pas d'école à Ansan.
A ti kɔnɔnni kɛ tuguni,téléphoner ou y aller.
A tɛmɛna n kan,"Moi, c’est plus fort que moi…"
Anw bi taga mi,n’approchait de celle-ci.
Toronto ka machi bè gagné,Toronto gagne tous les matchs.
Ji milogɔ bi n na,"Pristi, que j’ai soif !…"
A tun ba borila vitɛsi jolilera,À quelle vitesse roulait-il ?
A la gnèrè faga,Le il s'est suicidé.
